Grapheme	IPA	Frequency	Languages	Examples
ɔ̯á:ⁿ	ɔ̯/ɔ á:ⁿ/ãː	1	Tebul_Ure	dɔ̯á:ⁿ
ɲɔ̰̀gírí	ɲ ɔ̰̀/ɔ g í/i r í/i	1	Bambara	ɲɔ̰̀gírí
ɔ̰́	ɔ̰́/ɔ	2	Bambara	hɔ́rɔ̰́, kɔ̀lɔ̰́
ɔ᷈:	ɔ᷈:/ɔː	5	Bankan_Tey, Ben_Tey, Najamba, Nanga	gɔ᷈:, gɔ᷈:w, kɔ̀rɔ̀ŋ_kɔ᷈:
ɔ᷈:ⁿ	ɔ᷈:ⁿ/ɔ̃ː	1	Ben_Tey	gɔ᷈:ⁿm
ɕ	ɕ	1	Bangime	ɕìì-rì
ɗ	ɗ	23	Fulfulde	abbi-raaɗo, boɗee-jo, famɗu-de
ɗɗ	ɗː	7	Fulfulde	faɗɗu-de, fuɗɗu-de, jeɗɗi
ə̀	ə̀/ə	3	Jenaama, Yanda_Dom	kə̀, ʔə̀lò_tùnù, ʔə̀ɲɛ̀
ə́	ə́/ə	5	Jenaama, Yanda_Dom	kə́gə̄, ʔə́lɛ́, ʔə́nárⁿá
ə̄	ə̄/ə	1	Jenaama	kə́gə̄
ə̄ə̄	ə̄ə̄/əː	1	Jenaama	gə̄ə̄wⁿ
ɛ	ɛ	6	Bambara, Jamsay, Tommo_So	bɛrɛ, kɛlɛ, táŋá-nɛ
ɛ̀	ɛ̀/ɛ	503	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bandɛ̀, bàrà_ɛ̀mbɛ̌y, bé:ⁿ_kùlɛ̀
ɛ̀:	ɛ̀:/ɛː	39	Bunoge, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Tiranige_Diga, Yanda_Dom	bàrà_ɛ̀:mbɛ́, bárⁿɛ̀:, cɛ̀:jɔ̀
ɛ̀:ⁿ	ɛ̀:ⁿ/ɛ̃ː	1	Penange	gɛ̀:ⁿ
ɛ̀y	ɛ̀/ɛ j	3	Jamsay, Najamba, Yanda_Dom	kɛ́:jɛ̀y, pɛ̀y, pɛ́llɛ̀y
ɛ̀yɛ́	ɛ̀/ɛ j ɛ́/ɛ	1	Jamsay	jɛ̀yɛ́
ɛ̀yⁿ	ɛ̀/ɛ j̃	2	Bankan_Tey, Ben_Tey	ɛ́mmɛ̀yⁿ, ɛ́wⁿɛ̀yⁿ
ɛ̀ɛ̀	ɛ̀ɛ̀/ɛː	14	Bangime, Tommo_So	dɔ̄rɛ̀ɛ̀, dɛ̀ɛ̀-rɛ̀, dɛ̀ɛ̀rù
ɛ̀ɛ̀ⁿ	ɛ̀ɛ̀ⁿ/ɛ̃ː	1	Bangime	nɛ̀ɛ̀ⁿ
ɛ̀ɛ́	ɛ̀ɛ́/ɛː	2	Tommo_So	bɛ̀_bɛ̀ɛ́, bɛ̀ɛ́
ɛ̀ⁿ	ɛ̀ⁿ/ɛ̃	2	Bangime, Toro_Tegu	dēɡē_cɛ̀ⁿ, ɛ̀ⁿsá
ɛ́	ɛ́/ɛ	655	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bànànkù_tímɛ́, bàrà_ɛ̀:mbɛ́, bá:-ndɛ́
ɛ́:	ɛ́:/ɛː	86	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	bìnɛ́:, bònî:_bàn-ɛ́:, bɛ̀rɛ́:
ɛ́:y	ɛ́:/ɛː j	1	Tebul_Ure	pɛ́:y
ɛ́:ⁿ	ɛ́:ⁿ/ɛ̃ː	4	Jamsay, Songhai_Kiini, Togo_Kan	hɛ́:ⁿ, pɛ́:ⁿ, tɛ́:ⁿ
ɛ́y	ɛ́/ɛ j	3	Tommo_So, Yorno_So	lɛ́y, pɛ́:lɛ́y, wɛ́y
ɛ́yɔ́	ɛ́/ɛ j ɔ́/ɔ	1	Tiranige_Diga	jɛ́yɔ́
ɛ́yⁿ	ɛ́/ɛ j̃	4	Bankan_Tey, Ben_Tey, Tebul_Ure	í:rⁿɛ́yⁿ, ɛ́yⁿ
ɛ́ɛ̀	ɛ́ɛ̀/ɛː	1	Bangime	ŋúɥⁿɛ́ɛ̀
ɛ́ɛ́	ɛ́ɛ́/ɛː	1	Jenaama	tìgè_kɛ́ɛ́gū
ɛ́ɛ́ⁿ	ɛ́ɛ́ⁿ/ɛ̃ː	2	Bangime, Tommo_So	pɛ́ɛ́ⁿ
ɛ́ⁿ	ɛ́ⁿ/ɛ̃	9	Bambara, Bangime, Tebul_Ure, Togo_Kan	dɛ̀bɛ́ⁿ, dɛ̀nɛ́ⁿ, fɛ́gɛ́ⁿ
ɛ̂	ɛ̂/ɛ	20	Bankan_Tey, Ben_Tey, Jamsay, Nanga, Perge_Tegu, Toro_Tegu, Yanda_Dom, Yorno_So	dɛ̀:ndɛ̂, dɛ̌njɛ̂, káŋɛ̂
ɛ̂:	ɛ̂:/ɛː	21	Bankan_Tey, Ben_Tey, Bunoge, Mombo, Najamba, Nanga, Perge_Tegu, Yorno_So	bɛ̂:ŋgò, cɛ̂:, dw-ɛ̂:
ɛ̂:ⁿ	ɛ̂:ⁿ/ɛ̃ː	1	Perge_Tegu	gɛ̂:ⁿ
ɛ̂y	ɛ̂/ɛ j	3	Bankan_Tey, Ben_Tey, Najamba	cɛ̀rɛ̂y, kɛ̀rɛ̂y, swɛ̂y
ɛ̂yⁿ	ɛ̂/ɛ j̃	1	Jamsay	nɛ̂yⁿ
ɛ̂ⁿ	ɛ̂ⁿ/ɛ̃	1	Bankan_Tey	ɔ̀:ɲɛ̂ⁿ-m
ɛ̄	ɛ̄/ɛ	23	Bangime, Jenaama	dɛ̄gɛ̄_náwⁿ, gɛ́ŋgɛ̄, kùgù_lɛ̄wⁿ
ɛ̄ɛ̀ⁿ	ɛ̄ɛ̀ⁿ/ɛ̃ː	1	Bangime	kɛ̄ɛ̀ⁿ
ɛ̄ɛ̄	ɛ̄ɛ̄/ɛː	3	Jenaama	cɛ̄ɛ̄m, kɛ̄ɛ̄gū, tɛ̄ɛ̄mdɛ̄rɛ̀
ɛ̄ⁿ	ɛ̄ⁿ/ɛ̃	2	Jenaama	kwɛ̄ⁿ, sībɛ̄ⁿ
ɛ̌	ɛ̌/ɛ	38	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Perge_Tegu, Tebul_Ure, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bɛ̀_bɛ̌w, bɛ̌, bɛ̌n_bɛ̀nɛ́
ɛ̌:	ɛ̌:/ɛː	35	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Penange, Perge_Tegu, Tebul_Ure, Togo_Kan, Yorno_So	bì-bɛ̌:, bɛ́:_bɛ̌:, bɛ̌:
ɛ̌:ⁿ	ɛ̌:ⁿ/ɛ̃ː	4	Jamsay, Perge_Tegu	dɛ̌:ⁿ, tɛ̌:ⁿ, ɛ̌:ⁿ
ɛ̌y	ɛ̌/ɛ j	3	Bankan_Tey, Jamsay, Yorno_So	bàrà_ɛ̀mbɛ̌y, lɛ̌y, pɛ̌y
ɛ̌yⁿ	ɛ̌/ɛ j̃	13	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Toro_Tegu, Yorno_So	cìrⁿɛ̌yⁿ, dwɛ̌yⁿ-yè, dɛ̌yⁿ
ɛ̌ⁿ	ɛ̌ⁿ/ɛ̃	1	Togo_Kan	pɛ̌ⁿ
ɛ̰̀	ɛ̰̀/ɛ	1	Bambara	nɛ̰̀
ɛ᷈:	ɛ᷈:/ɛː	1	Nanga	bɛ̀_bɛ᷈:
ɛ᷈:yⁿ	ɛ᷈:/ɛ j̃	1	Penange	sɛ᷈:yⁿ
ɛ᷈:ⁿ	ɛ᷈:ⁿ/ɛ̃ː	1	Ben_Tey	gì_gɛ᷈:ⁿ-m
ɛ᷈yⁿ	ɛ᷈/ɛ j̃	2	Bankan_Tey, Ben_Tey	bɛ᷈yⁿ
ɛⁿ	ɛⁿ/ɛ̃	2	Bambara	cɛⁿ_cɛⁿ
ɡ	g	54	Bambara, Bangime, Songhai_Kiini	bɔ̄ɡɔ̀, dáɡá-yɛ̀, dìɡà
ɡw	gʷ	2	Bangime	ɡwì-yì, ɡwìì
ɡɡ	gː	1	Fulfulde	leɡɡal
ɣ	ɣ	13	Bangime, Ben_Tey, Jamsay	dà:ɣá, dàɣá, láɣá
ɥ	ɥ/y	18	Bangime, Jenaama	kùɥgè_kámbō, kùɥgù, kūɥɛ̀
ɥ̄	ɥ̄/y	2	Jenaama	tūɥ̄-gù
ɥⁿ	ɥⁿ/ỹ	2	Bangime	ŋùɥⁿɛ̀-rɛ̀, ŋúɥⁿɛ́ɛ̀
ɲ	ɲ	184	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Yanda_Dom, Yorno_So	bìɲɛ́, bùɲá, cèɲè
ɲɲ	ɲː	7	Bankan_Tey, Songhai_Senni, Tommo_So	gèɲɲú, jèɲɲé, káɲɲè
ɲ̀	ɲ̀/ɲ̍	1	Tommo_So	ɲ̀ɲɛ́
ʃ	ʃ	2	Jenaama	ʃìmbò_cí, ʃēmp_ùwò
ʄ	ʄ	5	Fulfulde	laʄu-de, ʄeewu-de, ʄiiʄam
ʄʄ	ʄː	2	Fulfulde	maʄʄu-de, moʄʄi-nde
ʒ	ʒ	3	Bangime	ʒìndò, ʒùɥɛ̀m̀_búⁿ, ʒīn-dò
ʔ	ʔ	52	Bunoge, Fulfulde, Songhai_Kiini, Songhai_Senni, Yanda_Dom	jìrbì_ʔí:yê, palu-giʔel, ʔà-tá:kí
ʔⁿ	ʔⁿ/ʔ	1	Togo_Kan	nàʔⁿà
ʤ	dʒ	11	Bangime	mɔ̀nʤɛ̀, nɔ̄n̄_ʤɛ̀, nʤàà_tìɡì
ḛ̀	ḛ̀/ḛ	1	Bambara	bìlḛ̀-má̰
ḛ́	ḛ́/ḛ	1	Bambara	bádḛ́má
ḭ́	ḭ/ḭ	2	Bambara	bḭ́, jìgḭ́
ḿ	ḿ/m̩	1	Tommo_So	ḿbɔ́
ṵ́	ṵ́/ṵ	2	Bambara	dɔ́gɔ́kṵ́, kùrṵ́
ẁ	ẁ/w	1	Nanga	děẁ
ẁⁿ	ẁⁿ/w̃	4	Bangime, Jenaama	kwīī_sɔ̄ẁⁿ, kéẁⁿ, nāẁⁿ
ẃⁿ	ẃⁿ/w̃	1	Nanga	àrⁿàẃⁿ
ỳ	ỳ/y	2	Bankan_Tey, Ben_Tey	tě-ỳ_té:, těỳ_tégé
